Link Name,URL
Skip to navigation,#navigation-container
Skip to main content,#nimbus-app
Skip to right column,#right-rail
News,https://www.yahoo.com/
Finance,https://finance.yahoo.com/
Sports,https://sports.yahoo.com/
News,https://www.yahoo.com/
Today's news,https://www.yahoo.com/news/
US,https://www.yahoo.com/news/us/
Politics,https://www.yahoo.com/news/politics/
World,https://www.yahoo.com/news/world/
Weather,https://weather.yahoo.com/
Tech,https://tech.yahoo.com/
Science,https://www.yahoo.com/news/science/
Originals,https://www.yahoo.com/guides/originals/
Newsletters,https://www.yahoo.com/newsletters/
Games,https://www.yahoo.com/games
Life,https://www.yahoo.com/lifestyle/
Health,https://health.yahoo.com/
